Notes,state,state_code,year,year_code,synthetic_deaths,population,synthetic_death_rate
,Arizona,4,2006,2006,36,6029141,0.6
,Arizona,4,2007,2007,27,6167681,0.4
,Arizona,4,2008,2008,36,6280362,0.6
,Arizona,4,2009,2009,39,6343154,0.6
,Arizona,4,2010,2010,54,6392017,0.8
,Arizona,4,2011,2011,29,6482505,0.4
,Arizona,4,2012,2012,26,6553255,0.4
,Arizona,4,2013,2013,35,6626624,0.5
,Arizona,4,2014,2014,40,6731484,0.6
,Arizona,4,2015,2015,57,6828065,0.8
,Arizona,4,2016,2016,114,6931071,1.6
,Arizona,4,2017,2017,251,7016270,3.6
,Arizona,4,2018,2018,495,7171646,6.9
,Arizona,4,2019,2019,761,7278717,10.5
,Arizona,4,2020,2020,1409,7421401,19
,Arkansas,5,1999,1999,Suppressed,2651860,Suppressed
,Arkansas,5,2000,2000,Suppressed,2673400,Suppressed
,Arkansas,5,2001,2001,Suppressed,2691571,Suppressed
,Arkansas,5,2002,2002,Suppressed,2705927,Suppressed
,Arkansas,5,2003,2003,Suppressed,2724816,Suppressed
,Arkansas,5,2004,2004,Suppressed,2749686,Suppressed
,Arkansas,5,2005,2005,14,2781097,Unreliable
,Arkansas,5,2006,2006,17,2821761,Unreliable
,Arkansas,5,2007,2007,Suppressed,2848650,Suppressed
,Arkansas,5,2008,2008,25,2874554,0.9
,Arkansas,5,2009,2009,43,2896843,1.5
,Arkansas,5,2010,2010,35,2915918,1.2
,Arkansas,5,2011,2011,20,2937979,0.7
,Arkansas,5,2012,2012,17,2949131,Unreliable
,Arkansas,5,2013,2013,21,2959373,0.7
,Arkansas,5,2014,2014,23,2966369,0.8
,Arkansas,5,2015,2015,27,2978204,0.9
,Arkansas,5,2016,2016,30,2988248,1
,Arkansas,5,2017,2017,54,3004279,1.8
,Arkansas,5,2018,2018,85,3013825,2.8
,Arkansas,5,2019,2019,108,3017804,3.6
,Arkansas,5,2020,2020,181,3030522,6
,California,6,1999,1999,60,33499204,0.2
,California,6,2000,2000,43,33871648,0.1
,California,6,2001,2001,22,34479458,0.1
,California,6,2002,2002,80,34871843,0.2
,California,6,2003,2003,80,35253159,0.2
,California,6,2004,2004,86,35574576,0.2
,California,6,2005,2005,96,35827943,0.3
,California,6,2006,2006,117,36021202,0.3
,California,6,2007,2007,102,36250311,0.3
,California,6,2008,2008,125,36604337,0.3
,California,6,2009,2009,151,36961229,0.4
,California,6,2010,2010,164,37253956,0.4
,California,6,2011,2011,130,37691912,0.3
,California,6,2012,2012,119,38041430,0.3
,California,6,2013,2013,140,38332521,0.4
,California,6,2014,2014,157,38802500,0.4
,California,6,2015,2015,198,39144818,0.5
,California,6,2016,2016,298,39250017,0.8
,California,6,2017,2017,503,39536653,1.3
,California,6,2018,2018,835,39557045,2.1
,California,6,2019,2019,1609,39512223,4.1
,California,6,2020,2020,3928,39368078,10
,Colorado,8,1999,1999,Suppressed,4226018,Suppressed
,Colorado,8,2000,2000,12,4301261,Unreliable
,Colorado,8,2001,2001,13,4425687,Unreliable
,Colorado,8,2002,2002,19,4490406,Unreliable
,Colorado,8,2003,2003,15,4528732,Unreliable
,Colorado,8,2004,2004,14,4575013,Unreliable
,Colorado,8,2005,2005,23,4631888,0.5
,Colorado,8,2006,2006,18,4720423,Unreliable
,Colorado,8,2007,2007,34,4803868,0.7
,Colorado,8,2008,2008,31,4889730,0.6
,Colorado,8,2009,2009,49,4972195,1
,Colorado,8,2010,2010,46,5029196,0.9
,Colorado,8,2011,2011,63,5116796,1.2
,Colorado,8,2012,2012,43,5187582,0.8
,Colorado,8,2013,2013,53,5268367,1
,Colorado,8,2014,2014,65,5355866,1.2
,Colorado,8,2015,2015,53,5456574,1
,Colorado,8,2016,2016,61,5540545,1.1
,Colorado,8,2017,2017,93,5607154,1.7
,Colorado,8,2018,2018,117,5695564,2.1
,Colorado,8,2019,2019,245,5758736,4.3
,Colorado,8,2020,2020,563,5807719,9.7
,Connecticut,9,1999,1999,Suppressed,3386401,Suppressed
,Connecticut,9,2000,2000,Suppressed,3405565,Suppressed
,Connecticut,9,2001,2001,Suppressed,3432835,Suppressed
,Connecticut,9,2002,2002,Suppressed,3458749,Suppressed
,Connecticut,9,2003,2003,Suppressed,3484336,Suppressed
,Connecticut,9,2004,2004,Suppressed,3496094,Suppressed
,Connecticut,9,2005,2005,Suppressed,3506956,Suppressed
,Connecticut,9,2006,2006,Suppressed,3517460,Suppressed
,Connecticut,9,2007,2007,20,3527270,0.6
,Connecticut,9,2008,2008,14,3545579,Unreliable
,Connecticut,9,2009,2009,19,3561807,Unreliable
,Connecticut,9,2010,2010,15,3574097,Unreliable
,Connecticut,9,2011,2011,Suppressed,3580709,Suppressed
,Connecticut,9,2012,2012,14,3590347,Unreliable
,Connecticut,9,2013,2013,43,3596080,1.2
,Connecticut,9,2014,2014,85,3596677,2.4
,Connecticut,9,2015,2015,200,3590886,5.6
,Connecticut,9,2016,2016,487,3576452,13.6
,Connecticut,9,2017,2017,681,3588184,19
,Connecticut,9,2018,2018,754,3572665,21.1
,Connecticut,9,2019,2019,932,3565287,26.1
,Connecticut,9,2020,2020,1126,3557006,31.7
,Delaware,10,1999,1999,0,774990,Unreliable
,Delaware,10,2000,2000,Suppressed,783600,Suppressed
,Delaware,10,2001,2001,Suppressed,795699,Suppressed
,Delaware,10,2002,2002,Suppressed,806169,Suppressed
,Delaware,10,2003,2003,Suppressed,818003,Suppressed
,Delaware,10,2004,2004,Suppressed,830803,Suppressed
,Delaware,10,2005,2005,Suppressed,845150,Suppressed
,Delaware,10,2006,2006,11,859268,Unreliable
,Delaware,10,2007,2007,Suppressed,871749,Suppressed
,Delaware,10,2008,2008,Suppressed,883874,Suppressed
,Delaware,10,2009,2009,12,891730,Unreliable
,Delaware,10,2010,2010,12,897934,Unreliable
,Delaware,10,2011,2011,12,907135,Unreliable
,Delaware,10,2012,2012,12,917092,Unreliable
,Delaware,10,2013,2013,18,925749,Unreliable
,Delaware,10,2014,2014,25,935614,2.7
,Delaware,10,2015,2015,35,945934,3.7
,Delaware,10,2016,2016,75,952065,7.9
,Delaware,10,2017,2017,173,961939,18
,Delaware,10,2018,2018,284,967171,29.4
,Delaware,10,2019,2019,328,973764,33.7
,Delaware,10,2020,2020,351,986809,35.6
,District of Columbia,11,1999,1999,0,570220,Unreliable
,District of Columbia,11,2000,2000,0,572059,Unreliable
,District of Columbia,11,2001,2001,0,574504,Unreliable
,District of Columbia,11,2002,2002,Suppressed,573158,Suppressed
,District of Columbia,11,2003,2003,0,568502,Unreliable
,District of Columbia,11,2004,2004,Suppressed,567754,Suppressed
,District of Columbia,11,2005,2005,0,567136,Unreliable
,District of Columbia,11,2006,2006,Suppressed,570681,Suppressed
,District of Columbia,11,2007,2007,0,574404,Unreliable
,District of Columbia,11,2008,2008,0,580236,Unreliable
,District of Columbia,11,2009,2009,0,592228,Unreliable
,District of Columbia,11,2010,2010,Suppressed,601723,Suppressed
,District of Columbia,11,2011,2011,0,617996,Unreliable
,District of Columbia,11,2012,2012,Suppressed,632323,Suppressed
,District of Columbia,11,2013,2013,Suppressed,646449,Suppressed
,District of Columbia,11,2014,2014,11,658893,Unreliable
,District of Columbia,11,2015,2015,25,672228,3.7
,District of Columbia,11,2016,2016,117,681170,17.2
,District of Columbia,11,2017,2017,168,693972,24.2
,District of Columbia,11,2018,2018,146,702455,20.8
,District of Columbia,11,2019,2019,202,705749,28.6
,District of Columbia,11,2020,2020,289,712816,40.5
,Florida,12,1999,1999,32,15759421,0.2
,Florida,12,2000,2000,52,15982378,0.3
,Florida,12,2001,2001,88,16356966,0.5
,Florida,12,2002,2002,90,16689370,0.5
,Florida,12,2003,2003,142,17004085,0.8
,Florida,12,2004,2004,125,17415318,0.7
,Florida,12,2005,2005,100,17842038,0.6
,Florida,12,2006,2006,99,18166990,0.5
,Florida,12,2007,2007,113,18367842,0.6
,Florida,12,2008,2008,105,18527305,0.6
,Florida,12,2009,2009,127,18652644,0.7
,Florida,12,2010,2010,116,18801310,0.6
,Florida,12,2011,2011,108,19057542,0.6
,Florida,12,2012,2012,131,19317568,0.7
,Florida,12,2013,2013,169,19552860,0.9
,Florida,12,2014,2014,299,19893297,1.5
,Florida,12,2015,2015,572,20271272,2.8
,Florida,12,2016,2016,1519,20612439,7.4
,Florida,12,2017,2017,2066,20984400,9.8
,Florida,12,2018,2018,2036,21299325,9.6
,Florida,12,2019,2019,2761,21477737,12.9
,Florida,12,2020,2020,4676,21733312,21.5
,Georgia,13,1999,1999,Suppressed,8045966,Suppressed
,Georgia,13,2000,2000,Suppressed,8186453,Suppressed
,Georgia,13,2001,2001,17,8377038,Unreliable
,Georgia,13,2002,2002,27,8508256,0.3
,Georgia,13,2003,2003,27,8622793,0.3
,Georgia,13,2004,2004,28,8769252,0.3
,Georgia,13,2005,2005,43,8925922,0.5
,Georgia,13,2006,2006,53,9155813,0.6
,Georgia,13,2007,2007,52,9349988,0.6
,Georgia,13,2008,2008,47,9504843,0.5
,Georgia,13,2009,2009,67,9620846,0.7
,Georgia,13,2010,2010,90,9687653,0.9
,Georgia,13,2011,2011,75,9815210,0.8
,Georgia,13,2012,2012,55,9919945,0.6
,Georgia,13,2013,2013,69,9992167,0.7
,Georgia,13,2014,2014,166,10097343,1.6
,Georgia,13,2015,2015,269,10214860,2.6
,Georgia,13,2016,2016,255,10310371,2.5
,Georgia,13,2017,2017,406,10429379,3.9
,Georgia,13,2018,2018,333,10519475,3.2
,Georgia,13,2019,2019,397,10617423,3.7
,Georgia,13,2020,2020,886,10710017,8.3
,Hawaii,15,1999,1999,Suppressed,1210300,Suppressed
,Hawaii,15,2000,2000,Suppressed,1211537,Suppressed
,Hawaii,15,2001,2001,Suppressed,1225948,Suppressed
,Hawaii,15,2002,2002,Suppressed,1239613,Suppressed
,Hawaii,15,2003,2003,0,1251154,Unreliable
,Hawaii,15,2004,2004,Suppressed,1273569,Suppressed
,Hawaii,15,2005,2005,0,1292729,Unreliable
,Hawaii,15,2006,2006,Suppressed,1309731,Suppressed
,Hawaii,15,2007,2007,Suppressed,1315675,Suppressed
,Hawaii,15,2008,2008,0,1332213,Unreliable
,Hawaii,15,2009,2009,Suppressed,1346717,Suppressed
,Hawaii,15,2010,2010,Suppressed,1360301,Suppressed
,Hawaii,15,2011,2011,Suppressed,1374810,Suppressed
,Hawaii,15,2012,2012,Suppressed,1392313,Suppressed
,Hawaii,15,2013,2013,Suppressed,1404054,Suppressed
,Hawaii,15,2014,2014,Suppressed,1419561,Suppressed
,Hawaii,15,2015,2015,11,1431603,Unreliable
,Hawaii,15,2016,2016,Suppressed,1428557,Suppressed
,Hawaii,15,2017,2017,Suppressed,1427538,Suppressed
,Hawaii,15,2018,2018,12,1420491,Unreliable
,Hawaii,15,2019,2019,18,1415872,Unreliable
,Hawaii,15,2020,2020,37,1407006,2.6
,Idaho,16,1999,1999,Suppressed,1275675,Suppressed
,Idaho,16,2000,2000,0,1293953,Unreliable
,Idaho,16,2001,2001,Suppressed,1319962,Suppressed
,Idaho,16,2002,2002,Suppressed,1340372,Suppressed
,Idaho,16,2003,2003,Suppressed,1363380,Suppressed
,Idaho,16,2004,2004,Suppressed,1391802,Suppressed
,Idaho,16,2005,2005,Suppressed,1428241,Suppressed
,Idaho,16,2006,2006,Suppressed,1468669,Suppressed
,Idaho,16,2007,2007,Suppressed,1505105,Suppressed
,Idaho,16,2008,2008,Suppressed,1534320,Suppressed
,Idaho,16,2009,2009,Suppressed,1554439,Suppressed
,Idaho,16,2010,2010,11,1567582,Unreliable
,Idaho,16,2011,2011,Suppressed,1584985,Suppressed
,Idaho,16,2012,2012,10,1595728,Unreliable
,Idaho,16,2013,2013,12,1612136,Unreliable
,Idaho,16,2014,2014,11,1634464,Unreliable
,Idaho,16,2015,2015,14,1654930,Unreliable
,Idaho,16,2016,2016,16,1683140,Unreliable
,Idaho,16,2017,2017,18,1716943,Unreliable
,Idaho,16,2018,2018,23,1754208,1.3
,Idaho,16,2019,2019,27,1787065,1.5
,Idaho,16,2020,2020,58,1826913,3.2
,Illinois,17,1999,1999,16,12359023,Unreliable
,Illinois,17,2000,2000,13,12419293,Unreliable
,Illinois,17,2001,2001,17,12488445,Unreliable
,Illinois,17,2002,2002,28,12525556,0.2
,Illinois,17,2003,2003,27,12556006,0.2
,Illinois,17,2004,2004,31,12589773,0.2
,Illinois,17,2005,2005,52,12609903,0.4
,Illinois,17,2006,2006,362,12643955,2.9
,Illinois,17,2007,2007,88,12695866,0.7
,Illinois,17,2008,2008,67,12747038,0.5
,Illinois,17,2009,2009,91,12796778,0.7
,Illinois,17,2010,2010,92,12830632,0.7
,Illinois,17,2011,2011,76,12869257,0.6
,Illinois,17,2012,2012,72,12875255,0.6
,Illinois,17,2013,2013,70,12882135,0.5
,Illinois,17,2014,2014,105,12880580,0.8
,Illinois,17,2015,2015,247,12859995,1.9
,Illinois,17,2016,2016,858,12801539,6.7
,Illinois,17,2017,2017,1201,12802023,9.4
,Illinois,17,2018,2018,1506,12741080,11.8
,Illinois,17,2019,2019,1671,12671821,13.2
,Illinois,17,2020,2020,2428,12587530,19.3
,Indiana,18,1999,1999,Suppressed,6044972,Suppressed
,Indiana,18,2000,2000,Suppressed,6080485,Suppressed
,Indiana,18,2001,2001,Suppressed,6127760,Suppressed
,Indiana,18,2002,2002,Suppressed,6155967,Suppressed
,Indiana,18,2003,2003,21,6196638,0.3
,Indiana,18,2004,2004,16,6233007,Unreliable
,Indiana,18,2005,2005,19,6278616,Unreliable
,Indiana,18,2006,2006,32,6332669,0.5
,Indiana,18,2007,2007,34,6379599,0.5
,Indiana,18,2008,2008,35,6424806,0.5
,Indiana,18,2009,2009,47,6459325,0.7
,Indiana,18,2010,2010,33,6483802,0.5
,Indiana,18,2011,2011,29,6516922,0.4
,Indiana,18,2012,2012,31,6537334,0.5
,Indiana,18,2013,2013,24,6570902,0.4
,Indiana,18,2014,2014,66,6596855,1
,Indiana,18,2015,2015,109,6619680,1.6
,Indiana,18,2016,2016,284,6633053,4.3
,Indiana,18,2017,2017,599,6666818,9
,Indiana,18,2018,2018,670,6691878,10
,Indiana,18,2019,2019,845,6732219,12.6
,Indiana,18,2020,2020,1532,6754953,22.7
,Iowa,19,1999,1999,Suppressed,2917637,Suppressed
,Iowa,19,2000,2000,Suppressed,2926324,Suppressed
,Iowa,19,2001,2001,Suppressed,2931997,Suppressed
,Iowa,19,2002,2002,Suppressed,2934234,Suppressed
,Iowa,19,2003,2003,10,2941999,Unreliable
,Iowa,19,2004,2004,Suppressed,2953635,Suppressed
,Iowa,19,2005,2005,Suppressed,2964454,Suppressed
,Iowa,19,2006,2006,Suppressed,2982644,Suppressed
,Iowa,19,2007,2007,10,2999212,Unreliable
,Iowa,19,2008,2008,15,3016734,Unreliable
,Iowa,19,2009,2009,23,3032870,0.8
,Iowa,19,2010,2010,33,3046355,1.1
,Iowa,19,2011,2011,19,3062309,Unreliable
,Iowa,19,2012,2012,25,3074186,0.8
,Iowa,19,2013,2013,27,3090416,0.9
,Iowa,19,2014,2014,24,3107126,0.8
,Iowa,19,2015,2015,33,3123899,1.1
,Iowa,19,2016,2016,52,3134693,1.7
,Iowa,19,2017,2017,86,3145711,2.7
,Iowa,19,2018,2018,72,3156145,2.3
,Iowa,19,2019,2019,95,3155070,3
,Iowa,19,2020,2020,159,3163561,5
,Kansas,20,1999,1999,Suppressed,2678340,Suppressed
,Kansas,20,2000,2000,Suppressed,2688418,Suppressed
,Kansas,20,2001,2001,Suppressed,2702162,Suppressed
,Kansas,20,2002,2002,11,2713535,Unreliable
,Kansas,20,2003,2003,Suppressed,2723004,Suppressed
,Kansas,20,2004,2004,13,2734373,Unreliable
,Kansas,20,2005,2005,15,2745299,Unreliable
,Kansas,20,2006,2006,12,2762931,Unreliable
,Kansas,20,2007,2007,Suppressed,2783785,Suppressed
,Kansas,20,2008,2008,16,2808076,Unreliable
,Kansas,20,2009,2009,28,2832704,1
,Kansas,20,2010,2010,14,2853118,Unreliable
,Kansas,20,2011,2011,17,2871238,Unreliable
,Kansas,20,2012,2012,40,2885905,1.4
,Kansas,20,2013,2013,33,2893957,1.1
,Kansas,20,2014,2014,25,2904021,0.9
,Kansas,20,2015,2015,29,2911641,1
,Kansas,20,2016,2016,20,2907289,0.7
,Kansas,20,2017,2017,24,2913123,0.8
,Kansas,20,2018,2018,39,2911505,1.3
,Kansas,20,2019,2019,72,2913314,2.5
,Kansas,20,2020,2020,162,2913805,5.6
,Kentucky,21,1999,1999,Suppressed,4018053,Suppressed
,Kentucky,21,2000,2000,Suppressed,4041769,Suppressed
,Kentucky,21,2001,2001,14,4068132,Unreliable
,Kentucky,21,2002,2002,25,4089875,0.6
,Kentucky,21,2003,2003,23,4117170,0.6
,Kentucky,21,2004,2004,28,4146101,0.7
,Kentucky,21,2005,2005,26,4182742,0.6
,Kentucky,21,2006,2006,44,4219239,1
,Kentucky,21,2007,2007,34,4256672,0.8
,Kentucky,21,2008,2008,36,4289878,0.8
,Kentucky,21,2009,2009,52,4317074,1.2
,Kentucky,21,2010,2010,42,4339367,1
,Kentucky,21,2011,2011,66,4369356,1.5
,Kentucky,21,2012,2012,65,4380415,1.5
,Kentucky,21,2013,2013,65,4395295,1.5
,Kentucky,21,2014,2014,165,4413457,3.7
,Kentucky,21,2015,2015,298,4425092,6.7
,Kentucky,21,2016,2016,443,4436974,10
,Kentucky,21,2017,2017,764,4454189,17.2
,Kentucky,21,2018,2018,730,4468402,16.3
,Kentucky,21,2019,2019,807,4467673,18.1
,Kentucky,21,2020,2020,1473,4477251,32.9
,Louisiana,22,1999,1999,Suppressed,4460814,Suppressed
,Louisiana,22,2000,2000,Suppressed,4468976,Suppressed
,Louisiana,22,2001,2001,Suppressed,4477875,Suppressed
,Louisiana,22,2002,2002,Suppressed,4497267,Suppressed
,Louisiana,22,2003,2003,Suppressed,4521042,Suppressed
,Louisiana,22,2004,2004,Suppressed,4552238,Suppressed
,Louisiana,22,2005,2005,Suppressed,4576628,Suppressed
,Louisiana,22,2006,2006,14,4302665,Unreliable
,Louisiana,22,2007,2007,18,4375581,Unreliable
,Louisiana,22,2008,2008,Suppressed,4435586,Suppressed
,Louisiana,22,2009,2009,14,4491648,Unreliable
,Louisiana,22,2010,2010,17,4533372,Unreliable
,Louisiana,22,2011,2011,15,4574836,Unreliable
,Louisiana,22,2012,2012,15,4601893,Unreliable
,Louisiana,22,2013,2013,24,4625470,0.5
,Louisiana,22,2014,2014,29,4649676,0.6
,Louisiana,22,2015,2015,37,4670724,0.8
,Louisiana,22,2016,2016,86,4681666,1.8
,Louisiana,22,2017,2017,153,4684333,3.3
,Louisiana,22,2018,2018,210,4659978,4.5
,Louisiana,22,2019,2019,308,4648794,6.6
,Louisiana,22,2020,2020,662,4645318,14.3
,Maine,23,1999,1999,Suppressed,1266808,Suppressed
,Maine,23,2000,2000,Suppressed,1274923,Suppressed
,Maine,23,2001,2001,Suppressed,1285692,Suppressed
,Maine,23,2002,2002,11,1295960,Unreliable
,Maine,23,2003,2003,Suppressed,1306513,Suppressed
,Maine,23,2004,2004,Suppressed,1313688,Suppressed
,Maine,23,2005,2005,Suppressed,1318787,Suppressed
,Maine,23,2006,2006,Suppressed,1323619,Suppressed
,Maine,23,2007,2007,Suppressed,1327040,Suppressed
,Maine,23,2008,2008,11,1330509,Unreliable
,Maine,23,2009,2009,13,1329590,Unreliable
,Maine,23,2010,2010,19,1328361,Unreliable
,Maine,23,2011,2011,16,1328188,Unreliable
,Maine,23,2012,2012,13,1329192,Unreliable
,Maine,23,2013,2013,22,1328302,1.7
,Maine,23,2014,2014,61,1330089,4.6
,Maine,23,2015,2015,108,1329328,8.1
,Maine,23,2016,2016,191,1331479,14.3
,Maine,23,2017,2017,268,1335907,20.1
,Maine,23,2018,2018,225,1338404,16.8
,Maine,23,2019,2019,275,1344212,20.5
,Maine,23,2020,2020,355,1350141,26.3
,Maryland,24,1999,1999,Suppressed,5254511,Suppressed
,Maryland,24,2000,2000,Suppressed,5296486,Suppressed
,Maryland,24,2001,2001,0,5374691,Unreliable
,Maryland,24,2002,2002,Suppressed,5440389,Suppressed
,Maryland,24,2003,2003,0,5496269,Unreliable
,Maryland,24,2004,2004,Suppressed,5546935,Suppressed
,Maryland,24,2005,2005,0,5592379,Unreliable
,Maryland,24,2006,2006,Suppressed,5627367,Suppressed
,Maryland,24,2007,2007,Suppressed,5653408,Suppressed
,Maryland,24,2008,2008,Suppressed,5684965,Suppressed
,Maryland,24,2009,2009,Suppressed,5730388,Suppressed
,Maryland,24,2010,2010,Suppressed,5773552,Suppressed
,Maryland,24,2011,2011,12,5828289,Unreliable
,Maryland,24,2012,2012,17,5884563,Unreliable
,Maryland,24,2013,2013,30,5928814,0.5
,Maryland,24,2014,2014,39,5976407,0.7
,Maryland,24,2015,2015,81,6006401,1.3
,Maryland,24,2016,2016,237,6016447,3.9
,Maryland,24,2017,2017,343,6052177,5.7
,Maryland,24,2018,2018,418,6042718,6.9
,Maryland,24,2019,2019,409,6045680,6.8
,Maryland,24,2020,2020,768,6055802,12.7
,Massachusetts,25,1999,1999,0,6317345,Unreliable
,Massachusetts,25,2000,2000,Suppressed,6349097,Suppressed
,Massachusetts,25,2001,2001,0,6397634,Unreliable
,Massachusetts,25,2002,2002,Suppressed,6417206,Suppressed
,Massachusetts,25,2003,2003,Suppressed,6422565,Suppressed
,Massachusetts,25,2004,2004,Suppressed,6412281,Suppressed
,Massachusetts,25,2005,2005,31,6403290,0.5
,Massachusetts,25,2006,2006,79,6410084,1.2
,Massachusetts,25,2007,2007,63,6431559,1
,Massachusetts,25,2008,2008,48,6468967,0.7
,Massachusetts,25,2009,2009,53,6517613,0.8
,Massachusetts,25,2010,2010,59,6547629,0.9
,Massachusetts,25,2011,2011,49,6587536,0.7
,Massachusetts,25,2012,2012,51,6646144,0.8
,Massachusetts,25,2013,2013,88,6692824,1.3
,Massachusetts,25,2014,2014,440,6745408,6.5
,Massachusetts,25,2015,2015,938,6794422,13.8
,Massachusetts,25,2016,2016,1528,6811779,22.4
,Massachusetts,25,2017,2017,1634,6859819,23.8
,Massachusetts,25,2018,2018,1787,6902149,25.9
,Massachusetts,25,2019,2019,1833,6892503,26.6
,Massachusetts,25,2020,2020,1904,6893574,27.6
,Michigan,26,1999,1999,11,9897117,Unreliable
,Michigan,26,2000,2000,Suppressed,9938444,Suppressed
,Michigan,26,2001,2001,Suppressed,9991120,Suppressed
,Michigan,26,2002,2002,15,10015710,Unreliable
,Michigan,26,2003,2003,18,10041152,Unreliable
,Michigan,26,2004,2004,31,10055315,0.3
,Michigan,26,2005,2005,56,10051137,0.6
,Michigan,26,2006,2006,175,10036081,1.7
,Michigan,26,2007,2007,56,10001284,0.6
,Michigan,26,2008,2008,53,9946889,0.5
,Michigan,26,2009,2009,64,9901591,0.6
,Michigan,26,2010,2010,67,9883640,0.7
,Michigan,26,2011,2011,74,9876187,0.7
,Michigan,26,2012,2012,57,9883360,0.6
,Michigan,26,2013,2013,70,9895622,0.7
,Michigan,26,2014,2014,152,9909877,1.5
,Michigan,26,2015,2015,422,9922576,4.3
,Michigan,26,2016,2016,869,9928300,8.8
,Michigan,26,2017,2017,1287,9962311,12.9
,Michigan,26,2018,2018,1454,9995915,14.5
,Michigan,26,2019,2019,1376,9986857,13.8
,Michigan,26,2020,2020,1808,9966555,18.1
,Minnesota,27,1999,1999,Suppressed,4873481,Suppressed
,Minnesota,27,2000,2000,Suppressed,4919479,Suppressed
,Minnesota,27,2001,2001,Suppressed,4982796,Suppressed
,Minnesota,27,2002,2002,Suppressed,5018935,Suppressed
,Minnesota,27,2003,2003,Suppressed,5053572,Suppressed
,Minnesota,27,2004,2004,11,5087713,Unreliable
,Minnesota,27,2005,2005,17,5119598,Unreliable
,Minnesota,27,2006,2006,22,5163555,0.4
,Minnesota,27,2007,2007,22,5207203,0.4
,Minnesota,27,2008,2008,22,5247018,0.4
,Minnesota,27,2009,2009,23,5281203,0.4
,Minnesota,27,2010,2010,26,5303925,0.5
,Minnesota,27,2011,2011,26,5344861,0.5
,Minnesota,27,2012,2012,30,5379139,0.6
,Minnesota,27,2013,2013,29,5420380,0.5
,Minnesota,27,2014,2014,35,5457173,0.6
,Minnesota,27,2015,2015,44,5489594,0.8
,Minnesota,27,2016,2016,90,5519952,1.6
,Minnesota,27,2017,2017,174,5576606,3.1
,Minnesota,27,2018,2018,197,5611179,3.5
,Minnesota,27,2019,2019,297,5639632,5.3
,Minnesota,27,2020,2020,545,5657342,9.6
,Mississippi,28,1999,1999,Suppressed,2828412,Suppressed
,Mississippi,28,2000,2000,Suppressed,2844658,Suppressed
,Mississippi,28,2001,2001,Suppressed,2852994,Suppressed
,Mississippi,28,2002,2002,Suppressed,2858681,Suppressed
,Mississippi,28,2003,2003,Suppressed,2868312,Suppressed
,Mississippi,28,2004,2004,Suppressed,2889010,Suppressed
,Mississippi,28,2005,2005,Suppressed,2905943,Suppressed
